,citation_years,pmc_id
3947796,"[2014, 2018, 2017, 2015, 0, 2017, 2015, 2015, 2017, 2015, 2014, 2017, 2017, 2017, 2017, 2017, 2016, 2016, 0, 2016, 2015, 2017, 2015, 2015, 2016, 2015, 2016, 2017, 2017, 2018, 2016, 2016, 2015, 0, 2014, 2015, 2016, 2017, 2017, 2018, 2017, 2016, 2018, 2014, 2017, 0, 2017, 2016, 0, 2014, 2017, 2014, 2014, 2016, 2015, 2016, 2016, 2015, 2014, 2017, 2017, 2017, 2016, 0, 2015, 2017, 2014, 2016]",PMC3947796
3959726,"[2015, 2017, 2016, 2017, 2015, 0, 2017, 2015, 2017, 0, 2017, 0, 2015, 2014, 2017, 2016, 2018, 0, 2016, 2015, 2014, 2015, 0, 2014, 2017, 2015, 2016, 2018, 2015, 2017, 2014, 2014, 0, 2016, 2016, 2015, 2016, 2016, 2015, 2015, 2014, 2017, 0, 2014, 2015, 2013, 0, 2017, 2016, 2015, 2015, 2017, 2013, 0, 2014, 2018, 2016, 2017, 2014, 0, 2016, 2017, 2014, 2018, 2017, 2016, 0, 2014, 2014, 0, 0, 0, 0, 2014, 2015]",PMC3959726
3990667,"[2016, 2014, 2017]",PMC3990667
4086130,"[2018, 2016, 0, 2017, 2017, 2016, 2016, 2016, 2015, 2015, 2016, 0, 2016, 2017, 2016, 2017, 2017, 2017, 2018, 2017, 2018, 0, 2017, 2016, 2016, 2016, 2017, 2016, 2015, 2015, 0, 2017, 2018, 2017, 2017, 2016, 2017, 2015, 2017, 2015, 2017, 2016, 2017, 2015, 2016, 2018, 2017, 2014, 2016, 2018, 2017, 2018, 2016, 2017, 2016, 2018, 2017, 2018, 2016, 2018, 2015, 2016, 2018]",PMC4086130
4098832,"[2016, 2014, 0, 2016, 2015, 2014, 2016, 2015, 2017, 2015, 2018, 2017, 2015, 2018, 2017, 2014, 0, 2017, 0, 2016, 2018, 0, 2016, 2014, 2015, 0, 2014, 2016, 2015, 2016, 2017, 2016, 2015, 2016, 2018, 2014, 2017, 2017, 0, 0, 2014, 0, 2016, 2017, 2017, 0, 2015, 2016, 2015, 2017, 2015, 2018, 2015, 2014, 2014, 2014, 2016, 0, 2017, 2015, 2014, 0, 2015, 2018, 2017, 2016, 2017, 2016, 2015, 2015, 2014, 0, 2014, 2014, 0, 2018, 2015, 2013, 0, 2017, 2018, 2017, 2014, 2017, 0, 2016, 2016, 0, 2017, 2015, 2015, 2015, 2016, 2015, 2016, 2015, 2017, 2016, 2015, 2018, 0, 2014, 2017, 2018, 2014, 2017, 2015, 2013, 2018, 2014, 2014, 2017, 2015, 2014, 0, 2014, 2015, 2014, 2016, 2014, 2014, 2015, 2016]",PMC4098832
4108877,"[2016, 0, 2017, 2017, 2016, 2015, 2014, 2018, 2016, 2015, 2017, 2018, 2017, 2016, 0, 2017, 2018, 2018, 2017, 2017, 2015, 2015, 2014]",PMC4108877
4137659,"[2015, 2014, 2018, 2015]",PMC4137659
4153537,"[2016, 2017, 0, 2016, 2016, 2018, 2017, 2018, 2016, 2016, 2017, 2016, 2015, 2017, 2015, 2015, 2016, 2017, 2017, 0, 2015]",PMC4153537
4156235,"[2016, 2018, 2018, 2018, 2017, 2018, 2016, 2015, 2017, 2017, 2016, 0, 0, 2017, 2015, 2015, 0, 2015, 2016, 2018, 2018, 0, 2016, 2016, 0, 2017, 2015, 2018, 0, 2016, 2016, 2016, 2016, 2017, 0, 2015, 2014, 2017, 2017, 2017, 2017, 2017, 2016, 0, 2016, 2018]",PMC4156235
4179751,"[2017, 2016, 2017, 2017, 2018, 2016, 2017, 2016, 2016, 2015, 2015, 2017, 2016, 2015, 2017, 2015, 2017, 2018, 2018]",PMC4179751
4201337,"[0, 2017, 2017, 2015, 2018, 2017, 2016, 2015, 2015, 2018, 2017, 2015, 2015, 2015, 0, 2017, 2016, 2016, 2017, 0, 2016, 2017, 2017, 2016, 2014, 2015, 2015]",PMC4201337
4221125,"[2015, 2015, 0]",PMC4221125
4234128,"[2017, 2015, 2015, 2015, 2017, 2018, 2018, 2017, 2015, 2015, 2014, 2015, 2016, 2017, 2017, 2016]",PMC4234128
4243058,"[2016, 2017, 2015, 2018, 2018, 2018, 2015, 0, 2017, 0, 2018, 0, 2016, 2016, 0, 2017, 2015, 0, 2018, 2015, 2015, 2015, 2016, 2015, 2017, 2016, 2017, 2017, 2016, 2015, 2018, 2017, 2016, 2016, 2015, 2017, 2016, 2018, 2017, 2017, 2017, 2016, 2017, 2016, 2018, 2016, 2015, 2016, 2015, 2018, 0, 2015, 2018, 2017, 2015, 2016, 2015, 2017, 2016, 2015, 2018, 2016, 2016, 2016, 2017, 2017, 2017]",PMC4243058
4270428,"[2016, 2017, 2017, 2016]",PMC4270428
433301,"[2016, 0, 0, 0, 0, 0, 2016, 2016, 0, 0, 0, 0, 0, 0, 2013, 0, 0, 2016, 2013, 2009, 2009, 0, 0, 2017, 2017, 2012, 0, 0, 2013, 0, 0, 2008, 2010, 0, 0, 0, 0, 0, 0]",PMC433301
4380931,"[2017, 2017, 2017, 2016, 2017, 2016, 2017, 2016, 2018, 2015, 2015, 2015, 2016, 2016, 2017, 2016, 2017, 0]",PMC4380931
