,citations,n_citations,pmc_id
3760004,"['3912084', '4922265', '5796869', '3779533', '4824006', '5029691', '4259403', '5346993', '4607622', '3725503', '3827918', '3953821', '5315031', '4502728', '5675614', '5007757', '3864542', '4627234', '5341177', '6072143', '4924753', '5079084', '4313067', '4831814', '6075515', '4693276', '4237307', '5342446', '4437987', '3894558', '4128044', '5395116', '3903232', '5533897', '4667710']",35,PMC3760004
3764016,"['4417154', '5449588', '5632288', '4179751', '4536893']",5,PMC3764016
3771683,"['5642956', '5609854', '4083116', '4297557', '3861640', '5884222', '5663466', '4460980', '5217344', '4702992']",10,PMC3771683
3782379,"['5049506', '5368665', '5847514']",3,PMC3782379
3783590,"['4016950', '4380931']",2,PMC3783590
3799471,"['4804358', '5748209', '5718512', '5445589', '6041755', '6084608', '4148527', '5215607', '5638226', '5871915', '5224708', '4717906', '5059623', '6078169', '5799812', '4168012', '5982584', '6075087', '5997485', '3910098', '4945827', '4784899', '5820335', '5862283', '6044387', '5734865', '6020840', '5309189', '4985183', '4963036', '5872385', '5469877', '4243044', '4838263', '5160408', '5920724', '3978567', '5580716', '6097914']",39,PMC3799471
3845839,"['4598990', '4818107', '4234128', '5005272', '5302955', '4567444', '5662764', '4621756', '5036860', '5607260', '5111159', '4490239', '5013316', '5610318', '5510182', '5912210', '5461547', '5341104', '4323858', '5516865', '5372219', '5058786', '5921997', '4748276', '4053204', '4605607', '4039558', '5939057', '4914393', '4355234', '5199121', '5460205', '4375513']",33,PMC3845839
3855094,"['5737394', '4983505', '5366773', '5005272', '4370756', '4179751', '4619778', '5763468', '4751505']",9,PMC3855094
3878311,"['5353596', '5081308', '4234216', '5049506', '5847514', '4218984', '5368665', '4093769']",8,PMC3878311
3947796,"['4119520', '6078165', '6089072', '4461398', '4270152', '5879788', '4556284', '4589737', '5465904', '4476235', '3961306', '5680301', '5538315', '5655815', '5657440', '5364449', '5199129', '4762880', '5994894', '4707509', '4681992', '5309787', '4573892', '4587398', '5026573', '4398020', '5507670', '5753377', '5510182', '5828968', '4975653', '4913309', '4425617', '4358765', '4047886', '4604168', '5135709', '5655668', '5464733', '6013488', '5347140', '4887336', '6026530', '3998017', '5509363', '5668135', '5392755', '5292010', '4511116', '4108202', '5508131', '4046135', '4547623', '5239501', '4570028', '5086998', '4843456', '4380931', '4255182', '5695256', '5674849', '5311997', '5097113', '4959870', '4397719', '5356237', '4036381', '4887341']",68,PMC3947796
3959726,"['4529871', '5717525', '4846947', '5573693', '4694825', '4249939', '5710874', '4722819', '5618627', '4604343', '5470990', '5204264', '4526315', '4013484', '5668566', '5672919', '6030489', '5110993', '5240723', '4724570', '4275421', '4536274', '4117199', '4304436', '5346251', '4620912', '6014687', '6001142', '4891198', '5557961', '4236052', '4279396', '5896248', '5239523', '4998994', '4874259', '4946961', '4815038', '4749566', '4560410', '3938031', '5696061', '5718051', '4090731', '4741975', '3991730', '5311928', '5794010', '4730247', '4830906', '4551903', '5732156', '4178206', '4019067', '3916389', '6035735', '4834551', '5650314', '4339117', '5350514', '5007788', '5690379', '4435066', '6082694', '5589569', '5207260', '4164949', '4389858', '4091845', '3958739', '4401662', '5378169', '5066613', '4705825', '4740292']",75,PMC3959726
